close_price_jan10,close_price_jan11,close_price_jan12,close_price_jan13,close_price_jan14,close_price_jan17,close_price_jan18,close_price_jan19,close_price_jan20,close_price_jan21,coupon,ISIN,issue_date,maturity_date
100.07,100.06,100.06,100.05,100.04,100.04,100.03,100.03,100.02,100.02,0.015,CA135087K601,11/3/2019,1/31/2022
100.35,100.34,100.34,100.32,100.31,100.28,100.27,100.27,100.26,100.27,0.015,CA135087K866,1/26/2020,4/30/2022
100.94,100.93,100.91,100.88,100.86,100.76,100.71,100.71,100.71,100.75,0.0175,CA135087H490,10/5/2017,2/28/2023
100.71,100.7,100.67,100.64,100.61,100.5,100.45,100.44,100.43,100.48,0.015,CA135087A610,7/29/2012,5/31/2023
99.2,99.2,99.16,99.13,99.09,98.92,98.84,98.84,98.83,98.9,0.0075,CA135087M920,10/21/2021,1/31/2024
100.56,100.63,100.62,100.58,100.52,100.29,100.21,100.15,100.17,100.27,0.015,CA135087J967,4/4/2019,8/31/2024
99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26,0.0125,CA135087K528,10/10/2019,2/28/2025
100.12,100.17,100.13,100.12,100.01,99.7,99.57,99.43,99.45,99.65,0.015,CA135087E679,7/20/2015,5/31/2026
97.66,97.7,97.67,97.695,97.585,97.24,97.02,96.96,97,97.225,0.01,CA135087L930,4/15/2021,8/31/2026
98.41,98.475,98.4,98.44,98.31,97.955,97.7,97.66,97.685,97.94,0.0125,CA135087M847,10/14/2021,2/28/2027
